Address,Proportion (scaled),Proportion
0x12d3D411d010891a88BFf2401bD73FA41fb1316e,130635454773508460,13.06%
0x529619a10129396a2F642cae32099C1eA7FA2834,99999999999999740,10.00%
0x617c34A9B6F080a0f25988DB6C903a8348D41081,74834709439249550,7.48%
0x425712a974D4f2802309e0E68d001756363c1C55,56028141154288040,5.60%
0x41Bc7d0687e6Cea57Fa26da78379DfDC5627C56d,54188822512030320,5.42%
0x9843C8a8263308A309BfC3C2d1c308126D8E754D,48440731262504680,4.84%
0xEa51Ccb352Aea7641fF4D88536F0F06Fd052EF8f,38352483564317016,3.84%
0x1A162A5FdaEbb0113f7B83Ed87A43BCF0B6a4D1E,30607092284700684,3.06%
0xCF263cEe139763114fAaFC5F52865135412F50Ec,28676140217752090,2.87%
0xdC7Aa225964267c7E0EfB35f4931426209E90312,24774189525805970,2.48%
0xDdB50FfDbA4D89354E1088e4EA402de895562173,24113252205095490,2.41%
0xF930EBBd05eF8b25B1797b9b2109DDC9B0d43063,23032603595028416,2.30%
0xD34f3e85bB7C8020C7959B80a4B87a369D639dc0,1.61053E+16,1.61%
0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,15566571777981396,1.56%
0xa8cbF4200595eFcd94b7526D04dEafe0f284aF2d,15060199792344010,1.51%
0x5Be876Ed0a9655133226BE302ca6f5503E3DA569,15031393595387122,1.50%
0xAC95712Ccf7fd178f198C7B6fd2d5f6f7a202929,14062099414709784,1.41%
0x813eaf28F5ec872F053504F51047c231E99d09dc,1.36869E+16,1.37%
0x4b003868bBD5ADd0D1251553b829E58Ba3CdCd3c,11683880961590928,1.17%
0x02FBADF4F6587885c7Db75c65d13cF5FeD2d246E,11630894353548344,1.16%
0x4F4715CA99C973A55303bc4a5f3e3acBb9fF75DB,10208447972016120,1.02%
0x3Ad4CeE90D0Eb10769AF8F3D8a58f9df39Af45Db,8880901674384426,0.89%
0xaE58656D27c561f93dE0e23042B67eDDea69A8fc,8323836192952924,0.83%
0x19c085052782633A236754dB2a8f4A4527207956,8240089133859307,0.82%
0xAF3F59f38788f1E60D70AdD0cB10565fB3BAa8dE,7998708788340412,0.80%
0x854F1269b659A727a2268AB86FF77CFB30BfB358,7206694301126133,0.72%
