Address,Balance Wei,Balance,Percentage
0x2e7669f61ea77f02445a015fbdcfe2de47083e02,901395660694655843057663,901395.6607,4.089622766
0x4843d7c40d65f7bdb90706255052b714c5bfb78a,599996909352274649078302,599996.9094,2.722179756
0x245c106b90fbaf9641452b566ed2fecdedb81c36,589191301987992558768806,589191.302,2.673154828
0xbfcd5ce8a9addadcfde3fd092bb62469c970e9fc,437942496491343693397984,437942.4965,1.986940565
0x0a81cacc9fd26f34363a415b6dd69c45ca1837e4,4.00E+23,400000,1.814795852
0x8a5805cda416b52ec599c981143e6201a31f6053,378167908850672667209222,378167.9089,1.715743881
0xf426e9f36032835174f1cc953cfc434766e1e71d,353125499291559404860039,353125.4993,1.602126729
0xf4aa0249761033d0fb08a35fda44870e31dad583,294592760226824929223732,294592.7602,1.336564298
0xfba1ed6a5c250952f45ab3a20fd7d3f48a0ac001,275302142542708290208011,275302.1425,1.249042966
0x9a3a55723dc8974289ec64ee6517fcfb20577b40,259945592338914256722469,259945.5923,1.179370457
0x2472f6c57ad97903d81741acdf462fa9d22c858f,257582874044892155895878,257582.874,1.168650829
0x80de2f874067b092bcb914144efbe1b54a731f4d,233378110730593607305935,233378.1107,1.058834068
0xff245c176a166bebbf5338ae1d8e5b6dfa6acea7,213677491530356840859120,213677.4915,0.9694525634
0x7488d2ce5deb26db021285b50b661d655eb3d3d9,201709970087096228648737,201709.9701,0.9151560427
0x9952814d76a916725a3b3eb4d7154a2826103640,2.00E+23,200000,0.9073979261
0xe9eb4707217a1709ab3a2df5b1dbf6b8dee3dbeb,199927821959834263487028,199927.822,0.9070704551
0x5b6d318cc3feef0a5872c323be13707b02e1b365,198681979110660736713583,198681.9791,0.901418079
0x67E869BD9B2742216Aa968211799e1c7CE8F1a99,170032168978310502283090,170032.169,0.7714341875
0x530afd9716c0993f32250300511985f58886675b,160630881698726025621506,160630.8817,0.7287806446
0x137bb2d2fb44654bc06768af1a8a51c76d85dc96,158247331820505924446104,158247.3318,0.7179665035
0xc68a293f0104630e39c7711a8af5beff7b670b44,140046984368340943683408,140046.9844,0.6353917159
0x48e135e3e8a12849076959368ee4073c39175a8c,139073040345655991205805,139073.0403,0.630972942
0x208b2bce76ffefbe70c0fef6ca60556f2bf86490,138168508884978014544215,138168.5089,0.6268690921
0x1661de1bbc858424819354a3e92468e59bc31699,137531812798292639100200,137531.8128,0.6239804086
0xa23f55e136f20d91a4ae553240e85ca77488ecf6,137041805513783189582272,137041.8055,0.6217572506
0x69aa334f55ff3bffa8edcd152c9058e022dcdb60,134250841253012430238453,134250.8413,0.6090946747
0x20a35a05651e37e842a646bf2cf83fe36f1b2395,134030829338416648592057,134030.8293,0.6080964829
0x793e48857f3ccdfe5cf3c504b6dfc7e8dab5b0e1,131780821917808219178082,131780.8219,0.5978882226
0x6e479e2de57a52608412b0e5aac0d769df9f7fd8,128870919077471511922864,128870.9191,0.5846860235
0xb0bd6510294cc9bf76f017f6062ad2c4b35b8e71,123947038960764417385421,123947.039,0.5623464305
0x28ba2ef5a52a1cfa57519fa373be048026c4ac2f,118415525114155251141552,118415.5251,0.5372500096
0x885f8126fa0e6465a610ad3667016faf44d69371,117120939761463601439611,117120.9398,0.5313764892
0xf70b7d7041f87122f40ae1845acd917350e9608a,110614058482645210524053,110614.0585,0.5018548363
0x694893a546d2711c9a8c0528a451c68c8544fb92,110461137689952223913403,110461.1377,0.5011610363
0xb646c99fe1a7787319dced64629440bb6316b1d5,109999999999999999999999,110000,0.4990688594
0xafc2a2fc2939a0dba76c92c6e3549e34207596e1,109939254714189074919663,109939.2547,0.4987932586
0x7de6ea5f8194bb275ddb10e5506913a889e0b906,1.07E+23,107433,0.487422407
0xadf036ffc79e57effc3b63ca6b164feb06d4834c,104808008514079147640787,104808.0085,0.4755128478
0x4817f70f3b033d04dffa4d4b7ccb4a91dbe135bd,103640566573756976154192,103640.5666,0.4702161759
0x13038294d9f64c73a5ff4fd1316ca9fa13fb0ea0,103452530345554287163872,103452.5303,0.4693630574
0x90b72ad66fceda74d2ede5fb83bca8063b789b49,100973145973198883815264,100973.146,0.4581141163
0xb1567635a6369995319b5a9b6ee9ae0e45dc0349,99964515775938609842710,99964.51578,0.4535379715
0x6bcdab0942a5a2407bf3ef676049f24e1e62df03,98595398394840182648400,98595.39839,0.4473263001
0xf85385347f56819c316939434d427d0c9537eddc,96982471165303145611363,96982.47117,0.440008466
0x9a8b8ab05f061d195338c17d02c93678885646ad,96565063348659732792146,96565.06335,0.4381146911
0xec4e8c7c07d49aa58a017bfd683f23affc73d1c0,9.25E+22,92500,0.4196715408
0xc0317c9d24761931ae6cac66ff3c4bd66690a8bf,91426535877806950786398,91426.53588,0.4148012452
0xf01ec20b2a33f9568db2c1e35a118adaacee8c4b,89971172321579570438017,89971.17232,0.4081982759
0xefd538f60b029c3b5c2f3c49bdae4168199a52b8,89608665186305597835267,89608.66519,0.4065535848
0x48f7b66d1e53adff5e8d8e7314d65d63aaae65f3,87719257743245916835740,87719.25774,0.3979813628
0xf4e781b732f699e3f4b9cf01e8cf357017f24a5a,84100964651795427342270,84100.96465,0.3815652046
0x5b8023f0a0fde30acc0787d7997a9bb310e85085,82128004212603585320437,82128.00421,0.3726139035
0x0349c07bd4fc79203babd93b115c7328baf7cde0,81362756863700427025149,81362.75686,0.3691419842
0x5afd265bef05dba6bd0d8d64993189476927339c,81135022831050228310500,81135.02283,0.3681087573
0x17e93f0456b6dcc7d3e1655159c62665495c78eb,80018097929192034500240,80018.09793,0.3630412806
0xc80cefdc53c549e769831fc502105a31be6cf809,77700750291275579232198,77700.75029,0.3525274984
0x2edb2238ff183fc5828d0e24105b420c0a075701,76808949221218078809400,76808.94922,0.3484814062
0x64239ae6e473af67624a719ed67f055e038206ef,74097371007287820590907,74097.37101,0.3361790039
0x89c0ef58be4267b233ea15e8fb6d242ca370cbe9,66807796010062573989446,66807.79601,0.3031062777
0x6156c9b64ab857101fdb353cad6edd69afc7bb75,66666666666666666666664,66666.66667,0.3024659754
0x93e9b4130f7d30427d25c274ea3f147e10c4e6d4,64731988277006172839501,64731.98828,0.2936883596
0xc4e1fe508f7b4ebd3f3cf353a119cee7a3902199,6.47E+22,64718,0.2936248949
0x3a74a0539d4182e7f2251412737e758e915ba679,63424657534246575342465,63424.65753,0.2877570136
0x5968c89e229e31afa2847f77e75f35901df13773,63254833834813123625784,63254.83383,0.2869865252
0xa4bc31f18b4736c7279da9cd5e805c8a218077ef,6.25E+22,62523,0.2836662027
0xf4587e0a8389a1b5dea2c1ae020bb8f8d5af7edc,60478150087043378995405,60478.15009,0.2743887398
0x19eae8bf38e51509c62aee4def930e16d75015ce,60273972602739726027395,60273.9726,0.2734623887
0x3bc52a196bab833947f47ce24600efa360530698,60252445938948080500582,60252.44594,0.2733647224
0xfc04b9e5cdd1053a93e1ab45288b47d049d857fa,58327199999999999999998,58327.2,0.2646299016
0xd422379c0d066dd788d56961489bb515ef60a37f,57269538685946220192783,57269.53869,0.2598313032
0x50c42604baed48f37a079fbccba1b7de04f2e4ee,56357176277291560967359,56357.17628,0.2556919244
0x2fdd1d92ae8b543e556c52fe6860cf6a565ab845,55115120143074581430737,55115.12014,0.2500567286
0x499fd90959aefdaae82268a79e23cd83daa8b396,55000251673220023676642,55000.25167,0.2495355715
0xa39980b3c339e32169fbf81a87af5b6034d1147e,53698630136986301369854,53698.63014,0.2436301281
0x272987bb318998e9Fc8893A263329E3065349DF2,52694614240153475393199,52694.61424,0.2390749184
0x3652d6a03d22cdf41973829f0e0ac239ebebad3c,50479235994841873837298,50479.23599,0.2290237703
0xa577903761c92ecc0ed3dab6a6133dfe9f636102,5.00E+22,50000,0.2268494815
0xa6e1096715afe0b132052e0589a980cfd378f133,49607305936073059360728,49607.30594,0.2250678326
0x6ffa5c328f84ced0f419a565a2e119803e9bd8fe,48474904109589041095876,48474.90411,0.2199301373
0xd2f0ff5f752da0fe289c42757d291b9a3a702179,48401605308219178082188,48401.60531,0.2195975814
0xbbf029083e75709818a7193d9c7946bf56230883,47374502014131441421404,47374.50201,0.2149376244
0x75f1255e8a03066c1624e43e90949da63e1489fc,46759513987800186030773,46759.51399,0.2121474301
0xdd318e521a6b2421372646309c96dd9104556ff5,45525114155251141552508,45525.11416,0.2065469709
0x09d4cc177663c056be397b993c853e83f1ba3935,4.44E+22,44444,0.2016419671
0x47c762812a5fd75ea176188357d78c06aec9f649,44141585141366226957503,44141.58514,0.2002699141
0xb376422393f882c408a585e2d269c395aaeef2fb,43175467419244738816999,43175.46742,0.195886648
0x2f19ac2e1e1f97bf7a55a199eb7ed658dacb1fed,42975922354054611237941,42975.92235,0.1949813141
0x833a4a119c1195b4ac1c7f1471152de8b65a3ef5,42112797495049345826943,42112.7975,0.1910653256
0x7fdb28f50a3321ac5a80a722ce8639ae7c67e670,41454786954843884238089,41454.78695,0.1880799386
0x3d69f002334b20e2777f78aca95014532960ca18,41113045177363436495850,41113.04518,0.1865294597
0x608c21bfc26b4e5611d93579e45cf2c3a1957565,41012282729208946389301,41012.28273,0.1860723015
0x6a53ccf3d0ec5104f3aff8f2f0d28a43fb2cde9b,40966500691939370877702,40966.50069,0.1858645888
0x5fc3e8f7d5461201d90b122569d8d2300062f9fd,40934320091112802300014,40934.32009,0.1857185858
0xa7073aea7375fc17d96d4d85a6a9e9176e2a42bc,40654503679181464569590,40654.50368,0.1844490616
0xe832f4b5b4cdd27ab5d2964d564d1c80fad9f3ab,40548473198302469135801,40548.4732,0.1839680024
0xb593565128a488a044f481828de692af22d5e6ba,40382055749154405547087,40382.05575,0.1832129682
0xc91a8a88e2def7c879afe0b2646bbf82711deea3,4.00E+22,40000,0.1814795852
0x9ded2d5837e71d204628b0d165869db9860d4d21,39999999999999999999999,40000,0.1814795852
0x94883840d0222fa06dd7f82001bf669400dde2e8,39999999999999999999999,40000,0.1814795852
0xd29dd8f0af4e6d2c0d615867c3ba4e05d1bfd798,39559321045391827329585,39559.32105,0.1794802294
0x60d4c8f9659868e39691b9059813862ffe1930bb,38369087540229156096577,38369.08754,0.1740801523
0xa41ba9e83d3e406af2a5c932ecd6433631817039,37995685999069846101800,37995.686,0.1723860334
0xa2655e4b195d66704302685bf9ff0a78a5b67d95,36990502651150008455927,36990.50265,0.167825527
0xdb4ceed556db2fc54d3ffa7c15d2bbf10e0c8e4e,3.68E+22,36829,0.1670927911
0xfaed057207b20dad793df0348f54956d64d46dfa,3.55E+22,35464,0.1608998003
0x4cdd6ca7da844aaa5be3c7bd5b9cbd213c77f6c3,34704408885273972602708,34704.40889,0.1574535433
0xcef13daa45ca6ca8b1af80e20280c7e5f6016b3c,34678784367431929646487,34678.78437,0.1573372851
0xceac823ba42bf2d22b011fcaa2022b3a960402d1,33938356164383561643835,33938.35616,0.15397797
0x95895bf12350889ff26f77ec05ed9a18ca9b18e2,33333333333333333333333,33333.33333,0.1512329877
0xe0dd374d4e69775dbe4e2a968d3a6258cae42d37,33241549310438863521051,33241.54931,0.1508165645
0x97111afe8a6adbe0e8dbc9a00c8ad1fc85fcb684,32169108305851513614069,32169.10831,0.1459509108
0x4f0442d1d1491f118877a7497ac12b78e583441b,32090236346355699306495,32090.23635,0.1455930695
