Address,Weight,Total share
0xe32e3bd2ec560513cab4757564ca50d13caf9f7f,2868355,30.91863864%
0x72d3bc5ca56b6ce28cb3f5093bb8445caabccc36,515021.9411,5.55153643%
0x80e6c4918ce508c08f7e4298f64464044cf79db7,442927.5706,4.77441513%
0xc57ea958e33dc87c7c7951774bab9221346ba26f,424448.7787,4.57522810%
0xd89b1b886719fb9f2168aea44d719e9b81cd78dd,368870.0767,3.97613287%
0x0e7f7ab04b33955502cf0959b9ff4afc74dd92aa,362083.2338,3.90297598%
0x8c5e3b939504a92f54a860e62567f636e6ac31ee,301292.5112,3.24769921%
0xe09348c518c51671a54fce1f16a1d55ede6c7c58,246478.4,2.65684568%
0xed0da42ef260bf6a739a7fb9dda720d5124298dc,206816.4325,2.22932048%
0x8d5ab09062fa6553f655a4eca782bb106e1de799,156774.0116,1.68990206%
0x1980475c3a279935ca611c9a41f17974ebc2e050,150869.9891,1.62626128%
0xa734288da3ace7f9a5e5caa6df929126f2e67d52,146100.5516,1.57485045%
0x5011ebaf3a3eb652e4dc43ca588ce0b3c3689178,139364.3475,1.50223940%
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,123057.1028,1.32645997%
0xa354212f4dac8f5a740cd9c692e52f5c622d258c,118521.6733,1.27757157%
0x66e9cb06ab7cc033c6d40173384cee7d7d177359,114632.4792,1.23564907%
0x6e74053a3798e0fc9a9775f7995316b27f21c4d2,113800,1.22667560%
0xbbd46439ad25f9b04ad0103d655323a9fe9952af,109914.5669,1.18479364%
0xe4b32828b558f17bcaf5efd52f0c067dba38833c,95580.69666,1.03028566%
0x474fd8f11450af961502fb6b76ff9a78aa787781,92448.26008,0.99652043%
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,87884.23044,0.94732373%
0x6d1b0ba383cd362f180ccfe01733b19260ca2459,83739.26207,0.90264419%
0x445bab4342fafcfee8baaec5bd7d6030770d4011,80822.1755,0.87120027%
0x35b96725046679431b2cb04c610dc984cb45e94c,70847.6025,0.76368212%
0x35c0578375d034b10dc73d8bb4d26f8c1bff0001,70007.7245,0.75462889%
