Address,Percentage
0xacdb3990eed2a6a8eea60e6937993de7799a41c1,4.3954633%
0x37a981532d7a2754ec53f9fd86fc34ccb15610eb,4.2334794%
0x53352ec4283b15c2b8c9e0206829b0b2b7c4c3a6,2.4830586%
0x652b71f544c863d0e83a015aec3a2f0236e93887,2.3843431%
0x2d3a71ae1ad9657b47320bc9099c3588c925b1b6,1.9746907%
0x17a686a4d7a8d77a94609c9935f224e9d71d8bb9,1.9455511%
0xf7171da5ced2f12de94d5d1d225b5c82238e2aad,1.8284835%
0x39f49254d6eaf6b2b2549dfec4ed93cf6bae167f,1.8219193%
0x23b8fa5eeb0ef09aa7ed529664c855dc06688918,1.7688338%
0x75fa3be54d5b3571ed19f3eeace61fa1566ef948,1.6748856%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,1.6009900%
0x14d92a7e0b39594a24e1433af564b47d7f1354f0,1.4778516%
0x97f54e86516005ce31a57a8cde56340788faf383,1.4476618%
0x9a7c7561ece91a1715d52588718ae3b225efc718,1.3974298%
0x9d9c4e1ce6c58a0eb7de92d0608426001e3a4c91,1.3951457%
0x3f1931bb25351b65ec831d84e3cd1cec54a16f6a,1.3827633%
0x2385b2be5b0005df8e23cf695a83b400b10e717e,1.3796591%
0x5645e0c6b705c5bef97205abcae6f133d3a67db0,1.3691538%
0x6d1c360ce882bba1723119be2125772d526cc166,1.3376445%
0xb82a6d0c805f33c665ae2733599469b2f41a4bc3,1.2789699%
0xa7dcc417c63f24f9073b667a5d7149bd38463d0f,1.2544593%
0xC118Fcf34Cf174e6E93C993F00c728C76edFBAB6,1.2172186%
0x86fe35c18063bb97163ff7a41533f7d5b43849f3,1.1805691%
0x2cddadfbad7270fa8cb9019141e6606da15c9c6f,1.1442098%
0x4913919df93e7633c395aa2ac5be2dfc279f0a60,1.1442098%
0xde50d241f0236a4b20b0318910fd418e5cbca797,1.0584508%
0xf84d631fa0ad886f76f56902747fbe729eb48323,1.0291300%
0xe1d953c5597b2f5c3eed3e5560d2ee6501d49a5a,0.9755942%
0xca2d6b20340198ea16ef35802665952516064327,0.9630232%
0xfa4804a6f6f59a27dcae2d046fe1a552c8b41e4a,0.8903015%
0x059b3a87dfccf284e48b0d16ed37bac8b2b2d3a2,0.8864431%
0x25dc61dc9c49cdad8cc01c23a92bc884e203133e,0.8631007%
0x1f170ec5a661980e9d75105a3bfe0af9ad8a4e8c,0.8499777%
0x47ffeba4d4d9bdc4b62f87ba33c70796a8a89cd5,0.8331172%
0xfe5e63cbe86ab867b0da4272ffcea7c4a9cae23b,0.8294473%
0x9b22820dc67d3da21ca4e66ca0cd220fc2e8fa25,0.8094697%
0xbdcd88b1967b6e0e47df420e5882286776e74afb,0.7950825%
0x39f08a5a5dad16e165cf21125bd0fa7e2e0f02ed,0.7509698%
0x83c6dbce02e4064601c9f78ebe52890d606d8915,0.6586478%
0xd54ee5aeab52ac0db7251780d85d751ef550f6df,0.6270356%
0x88f7223e377193f452851b8a6ca18f95674ff3ad,0.6265915%
0xdfe9f0fb8b23411de6f475867c29fc81f988adce,0.6226899%
0x33d24754fb5a17f677ff17728cfc65451b1b4dee,0.6137676%
0x13a00adee48397ee4f346befdc88de324a0a642a,0.5905475%
0x51b01e18c0c539e62e840744374e1731d2755ebf,0.5684041%
0xf75b1c69bb8b8b4bf90954ddc29f0a5a580b2194,0.5459160%
0xb566f98023ad311499f4a30350da878ffd543954,0.5256420%
0x919c65eec2e820fa45f2fad5cd5b98ac007b14f5,0.5237402%
0x25219d65425f273534459c1b134320f4e11d5055,0.5107674%
0x09316012a07c939bad2e3b26f05a42b726b35ca9,0.5067215%
0x6929d6c6354393caad5feb97f6ebd2679c207c04,0.4821783%
0xaaa09338522423b992d7cea4d7d48c5f819164b0,0.4806941%
0x6553e54d214c9e57267feec9ea70b698ac8f01e2,0.4803992%
0x6ce5309735e478d7d244183675ec93f7bdc4c4f4,0.4740298%
0x3439405c35324169caa43bfcf5d0270fd58aff1b,0.4579916%
0xd5bc86dc5ec860802c17c8c29fa7ab6915bcdf8a,0.4562760%
0xf9593362dffc4bd32b56fbb9f8352885da324701,0.3917220%
0xf749d8c64474d31484afbe44878a6cc13fb32830,0.3723525%
