Mainnet_addresses,SMR per Address,100% value,% LZ airdrop per address
0xE3EC898C04EBf1b95b82de6340fD208771679812,1713646,30033851,5.705715883%
0x78719E609649690b21F4871f1c4018176061fd5b,1208588,30033851,4.024087359%
0x4EABddc14215a76842D91a409B7aE54a9554732f,1301045,30033851,4.331930347%
0xdCCd7161353E8A93aD1A4dcDf206583EFeCe0463,954554,30033851,3.178262066%
0xEDF7f59bD672510076aF70595558CAAa4A3defce,1035760,30033851,3.448641446%
0xC34359Fab3d2DF508e4F994Af5a6418C2dbB132d,1111202,30033851,3.699831353%
0x9D91B3D7990f16c86b4169f7D020E30E9B8C7Bb3,766579,30033851,2.552383374%
0x464789DF1531341b4B7F7b69A46CE5317130169F,586681,30033851,1.953398453%
0x23727b54163F63CffdD8B7769e0eCb13Df253b4e,664143,30033851,2.211316443%
0x39be8fAD61f5Fa0cDFA2FC97C30a59833F58705D,543260,30033851,1.808824487%
0xB65A842dea36Cd9B0862C8774cDCB1495A145AB3,677120,30033851,2.254523010%
0xF05CCa4013Cc72c14bd9694A0932efd18A044A10,468857,30033851,1.561096243%
0x6E9491e2e2E97f2d4b4C7812bb17141311114B30,428122,30033851,1.425465586%
0x889CEF5559EB8b6a1dBCC445fB479e5530c37D8f,601198,30033851,2.001734042%
0x7103dF3a9bfd4Aca3DD9B59D20Ff48f345ff591E,393099,30033851,1.308854400%
0x690C684CcD1317DFD45f863a1050f068A8ae361F,322952,30033851,1.075292024%
0xA80D3EDF3e358B2633fe7C0E419130BD7CE3d78d,300182,30033851,0.999479906%
0x2c61a1fc43a66a57d0C889BeB5d47EEF5Feb99F3,248625,30033851,0.827814700%
0xb814C7583353D7c472E55964AD358b5802388050,261253,30033851,0.869863173%
0x96379aA5e547F14459C894b634eABae71C8009Ba,135499,30033851,0.451152701%
0xE80d2b35a3552B8ff146114bCF900F2cf1872AF8,238367,30033851,0.793659827%
0xb09d930e97705b317EA7f2BBd6566465A8897405,234863,30033851,0.781995739%
