user,%
0xcf8e92a9b85fd2d539f4cf358dc1ede959b3d2dd,11.85%
0x7204b73853c27bee7d557887585991cfa075e227,6.42%
0x89df81d0919db82add1f78ae977fbe3cf9b534e8,5.55%
0x41206f8efb51e5039e5b46e04e7866a4849f72d2,4.64%
0x82bab4ed4d4946cc709817bdca65c229a398d748,3.43%
0xc97ac21a9509551c0af12072a96f18793ecc32d9,3.14%
0xe9b31f8daab3d2855cba7327a4a94b2fcbd594c1,3.05%
0xb3c40b02f38f61f3d141c325c19f35b1f9df99ca,2.47%
0x768aec9ae3c7d20ca922d50d9d694870ee6166be,2.13%
0xd58f2bf955b089d748e4cf8176c6762c1bdb0840,2.10%
0x1ddbc70f4341adfb7a823786503cd2fa9ebe48b0,2.03%
0xdf64a0633d566d40ecc80db2e140f3e0155e8a1c,1.91%
0x46451b1db8fcd49d9928ef00243e20fe90bf636c,1.34%
0x0aa1b43123827f74ef5668e06efc262610873e5f,1.34%
0x9851bf1b9609154531a024bb9b0f7f229bf86954,1.30%
0x0fc59c9c998537c940a9dfc7dacde533a9c496fe,1.28%
0xd60661a8518f23e7a11d99ac9b95df9ecfebce78,1.19%
0x964f1c58ad7058f352faed049a4674c1990355ab,1.05%
0x6896aee2933adcb2c5108e43a6687b8c02b49d7a,1.02%
0x395ef2d7a5d499b62ac479064b7eaa51ae823a22,1.00%
0x121dbe34ec6c7485df74a89c72df3b74be86be67,0.96%
0x8ce523cf1120d9b7703806c745b69663a2847504,0.94%
0x13157b87347538da511fdd9dc965dfd4e745e4e6,0.91%
0x10cc16d56358168e9b286f2c2f93d27f52b8d675,0.84%
0x3e2e9e35211159e6d67c53153eb35b59db874dc8,0.81%
0xa5f04fd785a5e4897f4136ecd0ef4dc45723bc8e,0.79%
0x3442ab6eb51ceaf363fcac8ab0db54d62055aa82,0.79%
0xfa4d3cd41555d3a0fafd4a97e9ba91882a2f4755,0.76%
0x253956aedc059947e700071bc6d74bd8e34fe2ab,0.76%
0x74d4992d704934f542897500b541d11e6ee9e019,0.75%
0x00ca92e36872fce75664499c4a62b2333c1a22c6,0.67%
0xa2627f6f54e88a674df8e19b7838b7474830dc14,0.63%
0x22c8b850dc17d01f84939b610e911094c2b7d1a9,0.63%
0x9dd5b4a9a5724c2e5f5bfeac7ef6f16aa5e3deee,0.60%
0xd08b294dbd8bc760c57abdec26515da626511b40,0.58%
0x67c9b2fc82510ab21d51d09a59e5fb98e2b4b650,0.58%
0x2475039bf2ecdce2ee4c82954e64be9674f43546,0.56%
0x37752cbc53e5389020e1280784404b4d93aff593,0.54%
0x440973c229bf54d12d45d725d7064aa32e3beaf6,0.54%
0xa7ce79aef2af3bd0fbcaf6748b89806923fb6948,0.54%
0xa58627a29bb59743ce1d781b1072c59bb1dda86d,0.51%
0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff,0.51%
0x4267ca7c40d73ccbb532fb0f2359eba7cf836112,0.50%
0xa43bf41ccbd7f941597e1dc3d34939819f7ed4c2,0.49%
0x49a3aab8ebe80725646937b9e9f6f8b4e9867bfe,0.47%
0xb6239a88a1273b0f40913cb4b9afad92c4ecc0b4,0.46%
0x1e7f92540941f9539be4dbd2d7652ddce7a05a71,0.44%
0xca8428042d7da7b6d6bee526a23e9899adffab4c,0.44%
0xc09f97917b70b342006ebc3d9887ebaf33807bd5,0.43%
0x69011e0887a4b592b493053faa85b21e54248f4a,0.42%
0xf170ec34648c13846933d0dbf62170fb6cd92926,0.42%
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,0.41%
0x2a9695642fbfd8d3f79973009cb74432564ce3fb,0.39%
0x4e135fcec167587762fefe5caaeae6d302bff7b4,0.39%
0x7b8ee8e1127de4faa326726c9595fb8c2b29ec42,0.39%
0x743d7b30661d65b41960bf6b5d1bb93cf7972a73,0.39%
0x7d5ba536ab244aaa1ea42ab88428847f25e3e676,0.36%
0x59b940ce0d732acfdba626a8c694f040935cdd21,0.34%
0x33e0eab7c221aa1bfafb26b5a774e599f2f875e6,0.33%
0x28cc546eac8cf224ba43af95928643b25c379894,0.33%
0x72dfa1692132cefb24b4c42dfc0c9980e251c273,0.31%
0x2d23b731e5f04996a2dfdbe434c7d922afdb5e00,0.30%
0xdf70d93246026c11c1b48b6705d73767718315b5,0.29%
0xb11e16257d06dec2422c32577ea65c50b5c1b72e,0.29%
0xc2c9d14a7a6d0b55df75e18f926d8b2497d9db34,0.29%
0x8d35ca7b821d38a38443c6f556656ed7c56b8109,0.29%
0x0f95c70310a7f4a80bb602df72cac85e77390cec,0.25%
0x600c2db8b2dd0209e542fb2f74609a3c7e1ccd45,0.25%
0x86355f02119bdbc28ed6a4d5e0ca327ca7730fff,0.25%
0x6c76edcd9b067f6867aea819b0b4103ff93779fd,0.24%
0x33275f4b8de6571e7650305cbcfcbeeba5fcf4b5,0.23%
0x799b8b6e4672cc769978f7134aa7c281e50b9182,0.23%
0xafe2b51592b89095a4cfb18da2b5914b528f4c01,0.22%
0x445bab4342fafcfee8baaec5bd7d6030770d4011,0.21%
0x79515c211e1fc889ac50384c52700becab54f177,0.20%
0xc0c923834c6a0282c3cbd1d7c86ba6396a303faa,0.20%
0x6813a3e5d60711a57b4dd108cad8fd0cdedd4431,0.20%
0x521f76607295b8dcbee64bcda2534992471581fb,0.20%
0xbd0adb70b0b2b8c82eb45074e646394cea55a400,0.19%
0xab509a53b8ff1fe8fcd6b1a99f5fdbd2ada27c3b,0.19%
0x15f490fe47a84a50c75b0cc4c1f4b17b7188306d,0.17%
0x71b296ecd7a37140ba9b5749ee3c15993a241747,0.17%
0x28705c45f3ade1c5a244e4be1267bd4f14b08f11,0.17%
0xc9833421e0f343241a333770e84e39100e353d1d,0.17%
0x622b0f07c1e73e14e56f130ff0d51c88e367b12a,0.16%
0x6c5320140178e9dee8e5b47468e64e56208b2c30,0.16%
0x7818f7db405ed73d247f6dcbc8aba69d15614a97,0.16%
0x6fde7fa5e8f5b68fc2c35535fde925a63ff01c20,0.16%
0x3a6f701c96c4ca7d6b1743413804a097ecb552e7,0.16%
0xc42309af051952c00e5efd45f5ad5b8d336f254e,0.16%
0x5f6688f66fb42284af189880b73e673951ae511e,0.15%
0x17257f392af5191f4adfdcf984bcb11d45326d8a,0.15%
0xfa60e4377bd9d1e87f3fc9ac4ba7615f10b637a7,0.15%
0xb385b11de11dad3eaf181981dfc5d91e8931ba9d,0.15%
0xb5aa4badd1ee6ada51b363d379c72bd705bade08,0.14%
0xbe731cdbac66d43f2ce460c87fbe9757b7993292,0.14%
0x765938f2a175ea1fd648d21948cc6887ff2f004a,0.14%
0x6b5a16a0e48129367351da4bcc612be4cb20ab59,0.13%
0x605572243c30af7493707c9c8e8aa2ee25537e9a,0.13%
0x2eac22179b82ebc63c94a47a321c7d1c5d4c785c,0.13%
0xe889f059f1bc25e16b9b942454fb72136b0db946,0.13%
0x676628a8b5e33d59e79d32870e73851b1c58c0d8,0.13%
0x45336e6083883f893aa6f3121ae7a8b2086e5f09,0.13%
0x740fc290a019b7432fa9319e28b1c202355e3d2d,0.13%
0xe1699528929ef800abc4ab943c8a412cfc10c56b,0.12%
0x402ac8c9f973f68f1833348f4d7365697067e888,0.12%
0xe50443cc0637f66f772f415bf5769a4eaddff694,0.12%
0x6734431623919e4c0bc92b70cb0f7ac893f5f0c0,0.12%
0x54d35e5f16c9af0b9c338079e34ce4360f5ad439,0.12%
0x45fc280f198ccd87aa4ec670651f3fbca04b11cb,0.12%
0xba9c3a415326a8c088500ed34b80163bda1a2716,0.12%
0x50d40d1b65feea7f709f956f7c2cfc58d21ba8e4,0.11%
0xc63bac4dc21477e6fd651a88558f5d410b3c3d5b,0.11%
0xc1a8da2603bf579df012309768c021ebe8383d33,0.11%
0x97b418f3f1abe6810bed881cfc298491f4b93bf6,0.10%
0x6566be0cf9a7085d2dfe70b6689aeeec60cec50a,0.10%
0xb79e5473f18e57b1b06b271325bd9aa38bec7f6d,0.10%
0x95beabdf2ff4f5fa35cd90ecfa5953c9242ffdcd,0.10%
0x7b779004f01f594724945dac2e4d6cdf1a1c58cc,0.10%
0xf0d1fe90814484849ee879abda9d5c6ca93dc797,0.09%
0x60a5b234647bbc643e8fd196f7b813de773b321c,0.09%
0xd5f4a300ab7a786245281452be9039abc8cc8e40,0.09%
0xbb2fd24146d8a56da51143dab9b83cf814677573,0.09%
0x786df032e6c027dc04e8ba02356bf856e31a62c7,0.08%
0x6874f589d181bb671288fc22094b2b44d4caf446,0.08%
0x7f31c487f78db15a9d2777802308c85295839eb8,0.08%
0xe022adf1735642dbf8684c05f53fe0d8339f5663,0.08%
0x5766bd9d89696d52b80249d6d6682957a08b6a77,0.08%
0xfcd04a5daaa0910122013ea760a159d25981cc81,0.08%
0x9ed6949f0e208d3e39389bb0f9e3e41f9d868703,0.08%
0x6468cd9e790bcb0b9420e747b017fcdb8ee2e207,0.08%
0x7172e5b45a59423579608789b9a5ac0f406fde53,0.08%
0x11b3395c506edc21e779511fbc7b5ffdc5852272,0.08%
0x21ef45e33c13250b8472a159d63be4378ce9111b,0.08%
0xfdc96068bc5af7983ac8ddbb1ef96252b9e0027e,0.08%
0x67baa3de422be3f00c06aac5140d27335b9b5c6b,0.08%
0x390a77aa065d75a931e9192c2cb5db43e9dbfbac,0.08%
0x58938c95263809d88ad9303effb80c53fc2b38fe,0.08%
0x8b22e1670fb3e430fd4c60b7e371a2dd6da98139,0.08%
0x0373f7c39daa1f649c56ff5e8c78e35e06948889,0.08%
0x33a32ed086bbf934b2f0855233eeb1fd8e6eed3b,0.08%
0xa15f4c41110f7d0cb5a2138e19bd23d7ff7fc3a8,0.08%
0x5d0930dbc8f0766b478ed5537da374272168762d,0.08%
0x6b981bc7e66a2bb9d0764d70675bc438092cdebb,0.08%
0x447d1ce77ca4e7e3bb49d9987a9958b82ddc5abc,0.08%
0xfa5ce86a28613b58cbca90efc26757b093a6ffa2,0.08%
0x9a464782490e8c5a3ea81bbc01061c96c7ddcdf7,0.08%
0xcafc58de1e6a071790efbb6b83b35397023e1544,0.08%
0x1a9ed616c1e69e8beb42a467f602cb60298fb0cd,0.08%
0xd662de95c436839c3a3a5588fa543179f503b299,0.08%
0xa77380f97f0157504fc63645ba4c23a0a8c87f01,0.08%
0x637fed24d31822d36a74fd9e35fa5b9f05820ef0,0.08%
0x7b9a7d536ceec6038ecc75db752b2a135e1bd8ec,0.08%
0x3104eff929b43ff8b48176f2823f44088170e8bd,0.08%
0x98bd3c6103fe26975edbad1565f4b9d86cf61939,0.08%
0x98482f393b84e6e0798b6e18b3ba96db4e69c4a1,0.08%
0xe0a9a44660e4d19eacba9cf84c725f7fec361102,0.07%
0x65471e763db9307a83c506bd881712129ab2f290,0.07%
0xd18c96b6cd70987189b95e02b27d98e681bba100,0.07%
0xae30cc22876d22d182c37fc23e19988484b3f458,0.07%
0x02403045ec451111269b3dad863447c1dbed7fa7,0.07%
0xe064bccee6ebffc9935920f67d8010ce09bc087e,0.07%
0x659082a1b071fe769fd4fc8acc3c056986375081,0.07%
0x3021a59f56cae360183c40965d7059a4a73a7ba7,0.07%
0xd9a2353eee88e7ef3be1e1b014ac6c9381f0b6b4,0.07%
0xdde05da1122494c9af1694b377adbb43b47582c9,0.07%
0xe9512133e0aefb8dc40a583d19dfc2e9f31a1940,0.06%
0x0c9c0849f51ad863afa0e294d085315a0a714a3c,0.06%
0x3ecf6436e478b109d43887f3bfa52d90659d3703,0.06%
0x4037485b839baebac6ee0f5e87e1415826b5abcb,0.06%
0x4f0614814995bef67c4cc95a36ecc76ab46296c0,0.06%
0x09cc15dda77789d42c0133c909e88fb6e3af793a,0.06%
0xe98346e48c805597fd5bd05b0d9e79b9cc8dfc50,0.06%
0x4a9d4d7a8b2ec8eae9eb8f1a52eb655a076806b7,0.06%
0x7f66b9a0a317b5982381b081d15ab0b112c36850,0.06%
0x3630ab305635199133315097b31099a44ee13497,0.06%
0x591b86c3829a1f9188faec4fc1a81bf29b12c13b,0.06%
0x2dbcd61d7866eaa5528fd45721066c44cb9fbd94,0.05%
0x31270214b9cea11f1a07e3a55b4f6643a64f94ff,0.05%
0xc5e6368926b24561d2ca7abc878b051bf54e47a8,0.05%
0x68f56f95c1d39e17482c3b74ceb524c7159451e1,0.05%
0xc5275c3cfd2b1a169582ccaedd709b664407c422,0.05%
0xc401b8e877a8cf58c86f7b1092a01708af5801dd,0.05%
0xa8b4c7f8b3d91b324f815252da74884e68fb4c4c,0.05%
0x120e32bdc8840b11b13a67691028af51812f21e4,0.05%
0x3da07671f21934e9500936b60d00f561103f9140,0.05%
0xdbf2b27bdfa89dee09f76a49b8a7e9bf52d39bcc,0.05%
0x7be78db86e19522e549f26455d14b83eb55c732d,0.05%
0xb3d213f5eb02de5ce556e671e8ed7cf52afa811a,0.05%
0xd5e9f8aa43409b1cb830424043672f08bb5ff662,0.04%
0x33d0884ca14b61ba30b998de8854be8e226c9313,0.04%
0x2c1deb3c88f1bf975dde9f4a3f437dcdd29f04b1,0.04%
0x10b549dfea119302a96f23d7e53f49a059b50037,0.04%
0x420d73928933a54eaf4690ce3982d95fa12ce1be,0.04%
0x4a07034856aeb680d517aba6cb532724ce1265be,0.04%
0xf7626459234e9249808a06aa08dc6b67c8e0a2fc,0.04%
0xe2c72dcf60ec2892fd3002561b730b8b6c750eed,0.04%
0x730bbe154972f467062b3d91130ad36e67e55ca2,0.04%
0xd2f8d886c19d3bd783a5e311a5035a57b2f6cf44,0.04%
0xb3bfb32977cfd6200ab9537e3703e501d8381c9b,0.04%
